id,code,name
103,1474,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経４００
104,1475,ｉシェアーズ・コア　ＴＯＰＩＸ　ＥＴＦ
105,1476,ｉシェアーズ・コア　Ｊリート　ＥＴＦ
106,1477,ｉシェアーズ　ＭＳＣＩ　日本株最小分散　ＥＴＦ
107,1478,ｉシェアーズ　ＭＳＣＩ　ジャパン高配当利回り　ＥＴＦ
108,1479,ダイワ上場投信－ＭＳＣＩ日本株人材設備投資指数
109,1480,ＮＥＸＴ　ＦＵＮＤＳ　野村企業価値分配指数連動型上場投信
110,1481,上場インデックスファンド日本経済貢献株
111,1482,ｉシェアーズ・コア　米国債７－１０年　ＥＴＦ（為替ヘッジあり）
112,1483,ｉシェアーズ　ＪＰＸ／Ｓ＆Ｐ設備・人材投資　ＥＴＦ
113,1484,Ｏｎｅ　ＥＴＦ　ＪＰＸ／Ｓ＆Ｐ　設備・人材投資指数
114,1485,ＭＡＸＩＳ　ＪＡＰＡＮ　設備・人材積極投資企業２００上場投信
115,1486,上場インデックスファンド米国債券（為替ヘッジなし）
116,1487,上場インデックスファンド米国債券（為替ヘッジあり）
117,1488,ダイワ上場投信－東証ＲＥＩＴ指数
118,1489,ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信
119,1490,上場インデックスファンドＭＳＣＩ日本株高配当低ボラティリティ（βヘッジ）
120,1491,中外鉱業
121,1492,ＭＡＸＩＳ　ＪＰＸ　日経中小型株指数上場投信
122,1493,Ｏｎｅ　ＥＴＦ　ＪＰＸ日経中小型
123,1494,Ｏｎｅ　ＥＴＦ　高配当日本株
124,1495,上場インデックスファンドアジアリート
125,1496,ｉシェアーズ　米ドル建て投資適格社債　ＥＴＦ（為替ヘッジあり）
126,1497,ｉシェアーズ　米ドル建てハイイールド社債　ＥＴＦ（為替ヘッジあり）
127,1498,Ｏｎｅ　ＥＴＦ　ＥＳＧ
128,1499,ＭＡＸＩＳ日本株高配当７０マーケットニュートラル上場投信
129,1514,住石ホールディングス
130,1515,日鉄鉱業
131,1518,三井松島ホールディングス
132,1540,純金上場信託（現物国内保管型）
133,1541,純プラチナ上場信託（現物国内保管型）
134,1542,純銀上場信託（現物国内保管型）
135,1543,純パラジウム上場信託（現物国内保管型）
136,1545,ＮＥＸＴ　ＦＵＮＤＳ　ＮＡＳＤＡＱ－１００連動型上場投信
137,1546,ＮＥＸＴ　ＦＵＮＤＳ　ダウ・ジョーンズ工業株３０種平均株価連動型上場投信
138,1547,上場インデックスファンド米国株式（Ｓ＆Ｐ５００）
139,1550,ＭＡＸＩＳ　海外株式（ＭＳＣＩコクサイ）上場投信
140,1551,ＪＡＳＤＡＱ－ＴＯＰ２０上場投信
141,1552,国際のＥＴＦ　ＶＩＸ短期先物指数
142,1554,上場インデックスファンド世界株式（ＭＳＣＩ　ＡＣＷＩ）除く日本
143,1555,上場インデックスファンド豪州リート（Ｓ＆Ｐ／ＡＳＸ２００　Ａ‐ＲＥＩＴ）
144,1557,ＳＰＤＲ　Ｓ＆Ｐ５００　ＥＴＦ
145,1559,ＮＥＸＴ　ＦＵＮＤＳ　タイ株式ＳＥＴ５０指数連動型上場投信
146,1560,ＮＥＸＴ　ＦＵＮＤＳ　ＦＴＳＥブルサ・マレーシアＫＬＣＩ連動型上場投信
147,1563,マザーズ・コア上場投信
148,1566,上場インデックスファンド新興国債券
149,1567,ＭＡＸＩＳトピックスリスクコントロール（５％）上場投信
150,1568,ＴＯＰＩＸブル２倍上場投信
151,1569,ＴＯＰＩＸベア上場投信
152,1570,ＮＥＸＴ　ＦＵＮＤＳ　日経平均レバレッジ・インデックス連動型上場投信
153,1571,ＮＥＸＴ　ＦＵＮＤＳ　日経平均インバース・インデックス連動型上場投信
154,1572,中国Ｈ株ブル２倍上場投信
155,1573,中国Ｈ株ベア上場投信
156,1574,ＭＡＸＩＳトピックスリスクコントロール（１０％）上場投信
157,1575,ＣｈｉｎａＡＭＣ　ＣＳＩ　３００　Ｉｎｄｅｘ　ＥＴＦ－ＪＤＲ
158,1576,南方　ＦＴＳＥ　中国Ａ株５０　ＥＴＦ
159,1577,ＮＥＸＴ　ＦＵＮＤＳ　野村日本株高配当７０連動型上場投信
160,1578,上場インデックスファンド日経２２５（ミニ）
161,1579,日経平均ブル２倍上場投信
162,1580,日経平均ベア上場投信
163,1584,サムスンＫＯＤＥＸサムスングループ株証券上場指数投資信託［株式］
164,1585,ダイワ上場投信・ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ
165,1586,上場インデックスファンドＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ
166,1591,ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸ日経インデックス４００連動型上場投信
167,1592,上場インデックスファンドＪＰＸ日経インデックス４００
168,1593,ＭＡＸＩＳ　ＪＰＸ日経インデックス４００上場投信
169,1595,ＮＺＡＭ　上場投信　東証ＲＥＩＴ指数
170,1596,ＮＺＡＭ　上場投信　ＴＯＰＩＸ　Ｅｘ－Ｆｉｎａｎｃｉａｌｓ
171,1597,ＭＡＸＩＳ　Ｊリート上場投信
172,1598,ＮＥＸＴ　ＦＵＮＤＳ　Ｒ／Ｎファンダメンタル・インデックス上場投信
173,1599,ダイワ上場投信－ＪＰＸ日経４００
174,1605,ＩＮＰＥＸ
